"","Reading","Cinema","Show","Exhibition","Computer","Sport","Walking","Travelling","Collecting","Volunteering","Mechanic","Gardening","Knitting","Cooking","Fishing","Sex","Age","Marital status","Profession"
"1","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","F","(55,65]","Married","Management"
"2","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","No","No","No","F","(25,35]","Remarried","Management"
"3","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","M","(55,65]","Married","Employee"
"4","No","No","No","No","No","No","No","No","No","No","Yes","No","No","No","No","M","(45,55]","Married","Manual labourer"
"5","No","No","No","No","Yes","Yes","No","No","No","No","Yes","No","No","No","No","M","(35,45]","Married","Employee"
"6","Yes","Yes","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","F","(35,45]","Single","Management"
"7","Yes","Yes","No","Yes","No","No","No","No","No","No","Yes","Yes","No","No","No","F","(25,35]","Single","Employee"
"8","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","F","[15,25]","Single","Employee"
"9","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","F","(75,85]","Divorcee","Management"
"10","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","F","(35,45]","Married","Employee"
"11","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(45,55]","Married","Employee"
"12","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(45,55]","Married","Employee"
"13","Yes","No","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","M","(65,75]","Married","Foreman"
"14","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","M","(25,35]","Single","Management"
"15","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","M","(45,55]","Remarried","Management"
"16","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(45,55]","Married","Employee"
"17","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","F","(25,35]","Single","Management"
"18","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","F","(25,35]","Single","Management"
"19","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","F","(35,45]","Single","Employee"
"20","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","F","(45,55]","Married","Management"
"21","Yes","Yes","Yes","Yes","No","No","No","No","Yes","No","Yes","Yes","No","No","No","M","(35,45]","Single","Management"
"22","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","Yes","No","F","(25,35]","Single","Management"
"23","Yes","No","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","Yes","No","F","(45,55]","Single","Management"
"24","Yes","Yes","Yes","Yes","No","No","Yes","Yes","Yes","No","Yes","No","No","No","No","M","(35,45]","Remarried","Other"
"25","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","Yes","F","(25,35]","Single","Management"
"26","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","M","(25,35]","Single","Management"
"27","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","Yes","No","No","Yes","No","M","(35,45]","Married","Management"
"28","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Married","Employee"
"29","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","No","No","No","M","[15,25]","Single","Manual labourer"
"30","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","No","No","No","F","(45,55]","Divorcee","Management"
"31","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(85,100]","Widower","Employee"
"32","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","Yes","Yes","No","No","No","F","(45,55]","Divorcee","Employee"
"33","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(75,85]","Widower","Management"
"34","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","M","(55,65]","Remarried","Management"
"35","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(45,55]","Married","Unskilled worker"
"36","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","Yes","F","(35,45]","Single","Management"
"37","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","F","(35,45]","Married","Management"
"38","Yes","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No","No","M","(25,35]","Married","Other"
"39","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","No","No","M","(65,75]","Married","Management"
"40","Yes","No","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","M","(45,55]","Married","Unskilled worker"
"41","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","F","(45,55]","Single","Employee"
"42","No","No","No","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","M","(45,55]","Divorcee","Unskilled worker"
"43","No","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","No","F","(45,55]","Married","Employee"
"44","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","M","(25,35]","Single","Management"
"45","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","F","(25,35]","Divorcee","Unskilled worker"
"46","Yes","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","Yes","No","F","(35,45]","Married","Management"
"47","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","[15,25]","Single","Management"
"48","Yes","No","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","M","(55,65]","Divorcee","Management"
"49","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","F","(35,45]","Single","Employee"
"50","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","F","(35,45]","Divorcee","Employee"
"51","No","No","No","Yes","No","No","Yes","Yes","No","No","No","Yes","Yes","Yes","No","F","(55,65]","Married","Employee"
"52","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Single","Management"
"53","No","Yes","Yes","Yes","No","No","No","Yes","No","No","Yes","No","No","Yes","No","M","(35,45]","Single","Employee"
"54","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","M","(65,75]","Widower","Management"
"55","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","No","No","F","(25,35]","Single","Management"
"56","No","Yes","No","No","Yes","Yes","No","Yes","No","No","No","No","No","No","No","M","(25,35]","Single","Management"
"57","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","Yes","No","F","(25,35]","Single","Technician"
"58","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","Yes","No","No","No","No","M","(35,45]","Single","Management"
"59","No","Yes","Yes","No","No","No","Yes","No","No","No","Yes","No","No","No","No","M","(65,75]","Single","Technician"
"60","Yes","Yes","No","No","Yes","No","Yes","No","No","No","No","No","No","No","No","M","(55,65]","Single","Technician"
"61","Yes","Yes","No","No","No","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","F","(35,45]","Single","Management"
"62","Yes","Yes","Yes","No","No","No","No","No","No","No","No","Yes","Yes","No","No","F","(55,65]","Divorcee","Technician"
"63","Yes","Yes","No","Yes","No","No","No","No","No","No","No","Yes","No","No","No","F","(45,55]","Single","Employee"
"64","No","No","No","No","No","No","No","No","No","No","No","No","Yes","No","No","F","(65,75]","Divorcee","Employee"
"65","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","No","F","(45,55]","Married","Employee"
"66","Yes","No","No","Yes","No","No","Yes","No","Yes","No","No","Yes","No","No","No","M","(65,75]","Married","Management"
"67","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","Yes","No","M","(35,45]","Single","Foreman"
"68","Yes","No","No","Yes","No","No","No","Yes","No","Yes","No","No","No","No","No","M","(55,65]","Married","Management"
"69","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","Yes","No","M","(25,35]","Single","Management"
"70","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","Yes","No","F","(65,75]","Divorcee","Employee"
"71","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","Yes","M","(25,35]","Married","Management"
"72","Yes","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","M","(35,45]","Married","Management"
"73","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","Yes","No","No","No","No","M","(35,45]","Single","Foreman"
"74","Yes","Yes","No","Yes","Yes","No","Yes","Yes","No","No","Yes","No","No","Yes","No","F","(25,35]","Married","Employee"
"75","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","Yes","No","F","[15,25]","Single","Employee"
"76","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(65,75]","Single","Employee"
"77","Yes","Yes","Yes","Yes","No","No","Yes","No","No","Yes","No","No","No","No","No","F","(75,85]","Widower","Management"
"78","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(75,85]","Remarried","Manual labourer"
"79","Yes","Yes","Yes","No","No","Yes","No","Yes","No","Yes","No","No","No","Yes","No","M","(25,35]","Single","Management"
"80","Yes","Yes","No","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","M","(45,55]","Married","Management"
"81","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","Yes","Yes","No","F","(65,75]","Married","Management"
"82","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","M","(45,55]","Remarried","Management"
"83","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","M","(35,45]","Remarried","Employee"
"84","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","No","Yes","No","M","(35,45]","Single","Employee"
"85","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","Yes","No","Yes","No","F","(55,65]","Married","Management"
"86","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","M","(55,65]","Married","Management"
"87","No","No","No","No","Yes","No","No","Yes","No","No","No","No","No","Yes","No","F","(45,55]","Married","Foreman"
"88","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","M","(45,55]","Remarried","Management"
"89","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","Yes","No","No","Yes","No","F","(25,35]","Married","Employee"
"90","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","M","(25,35]","Single","Employee"
"91","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","F","(25,35]","Single","Management"
"92","No","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(75,85]","Remarried","Management"
"93","Yes","No","No","No","No","No","No","No","Yes","No","No","No","No","No","No","M","(65,75]","Single","Management"
"94","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","No","No","No","F","(45,55]","Married","Management"
"95","Yes","Yes","Yes","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","M","(25,35]","Single","Management"
"96","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","Yes","Yes","No","Yes","No","F","(45,55]","Married","Management"
"97","Yes","Yes","Yes","No","No","No","No","Yes","No","No","Yes","No","No","No","No","F","(35,45]","Married","Employee"
"98","Yes","Yes","Yes","Yes","Yes","No","Yes","Yes","No","No","No","No","No","No","No","M","(25,35]","Single","Management"
"99","Yes","Yes","Yes","No","Yes","No","Yes","Yes","No","No","No","No","No","No","No","M","(25,35]","Single","Employee"
"100","Yes","Yes","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","F","(45,55]","Married","Employee"
"101","Yes","No","No","No","No","No","Yes","Yes","No","No","Yes","No","No","No","No","M","(55,65]","Single","Technician"
"102","Yes","No","No","Yes","No","No","No","No","No","No","No","No","No","No","No","M","(65,75]","Married","Management"
"103","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","No","Yes","No","M","[15,25]","Single","Employee"
"104","No","Yes","Yes","Yes","No","No","No","No","No","No","No","No","No","No","No","F","(75,85]","Widower","Management"
"105","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","Yes","No","F","(55,65]","Married","Foreman"
"106","Yes","Yes","No","No","Yes","Yes","Yes","No","No","No","Yes","No","No","No","No","M","[15,25]","Single","Manual labourer"
"107","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","No","No","No","No","F","(35,45]","Married","Management"
"108","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","M","(65,75]","Married","Management"
"109","Yes","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","No","No","No","No","F","(35,45]","Married","Management"
"110","Yes","Yes","No","Yes","Yes","Yes","No","Yes","No","No","No","No","No","No","No","F","(55,65]","Married","Management"
"111","Yes","No","Yes","Yes","No","No","No","No","No","No","Yes","No","No","No","No","F","(65,75]","Married","Employee"
"112","No","No","No","No","No","No","Yes","No","No","No","Yes","Yes","Yes","Yes","No","F","(55,65]","Married","Employee"
"113","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","M","(35,45]","Single","Unskilled worker"
"114","Yes","Yes","Yes","Yes","Yes","No","No","Yes","Yes","No","No","No","No","Yes","No","F","(25,35]","Single","Management"
"115","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","F","(25,35]","Single","Other"
"116","Yes","No","Yes","No","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","M","(35,45]","Remarried","Management"
"117","Yes","Yes","No","Yes","No","Yes","Yes","Yes","No","No","No","No","No","Yes","No","F","(55,65]","Married","Management"
"118","Yes","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","No","F","(45,55]","Widower","Foreman"
"119","Yes","No","No","No","No","No","No","Yes","No","No","No","No","No","No","No","F","(45,55]","Married","Manual labourer"
"120","Yes","Yes","Yes","Yes","Yes","Yes","Yes","Yes","No","No","No","No","No","Yes","No","M","[15,25]","Single","Management"
"121","Yes","Yes","Yes","Yes","No","No","Yes","No","No","No","Yes","Yes","No","No","No","F","(35,45]","Single","Employee"
"122","Yes","Yes","No","Yes","No","No","Yes","No","No","No","Yes","No","No","No","No","M","(45,55]","Single","Management"
"123","Yes","No","No","No","No","Yes","No","No","No","No","No","No","No","No","No","M","(55,65]","Married","Management"
"124","No","Yes","Yes","No","Yes","Yes","No","Yes","No","No","No","No","No","Yes","No","F","(35,45]","Married","Employee"
"125","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","F","(45,55]","Divorcee","Employee"
"126","Yes","No","Yes","No","No","Yes","No","No","No","No","Yes","No","No","No","No","F","(25,35]","Married","Management"
"127","Yes","Yes","No","No","No","Yes","No","No","No","No","No","No","No","No","No","M","(45,55]","Single","Management"
"128","Yes","Yes","Yes","Yes","Yes","Yes","No","Yes","No","Yes","No","Yes","Yes","Yes","No","F","(25,35]","Single","Management"
"129","Yes","Yes","No","Yes","Yes","Yes","No","No","Yes","Yes","Yes","Yes","No","Yes","No","M","[15,25]","Married","Employee"
"130","Yes","No","No","No","No","No","Yes","No","No","No","No","No","No","No","No","F","(75,85]","Divorcee","Employee"
"131","Yes","Yes","No","Yes","No","No","Yes","No","No","No","No","No","No","No","No","F","(25,35]","Single","Foreman"
"132","Yes","Yes","No","No","No","Yes","Yes","Yes","No","No","No","No","No","No","No","F","(25,35]","Single","Other"
"133","Yes","No","No","No","No","No","No","No","No","No","No","No","No","No","No","F","(35,45]","Single","Employee"
"134","Yes","No","No","Yes","Yes","No","No","No","No","No","No","No","No","Yes","No","F","(35,45]","Married","Management"
"135","Yes","No","No","No","No","Yes","No","No","No","No","No","Yes","No","No","No","F","(45,55]","Single","Employee"
"136","No","No","No","No","No","No","No","Yes","No","No","Yes","No","No","No","No","M","(45,55]","Married","Manual labourer"
